model,seed,attack,objective_mode,target_class,attack_roi,attack_run,baseline_run,validation_status,baseline_mAP50,attack_mAP50,mAP50_drop,mAP50_effectiveness,baseline_avg_conf,attack_avg_conf,avg_conf_drop,avg_conf_effectiveness,baseline_total_detections,attack_total_detections,detection_drop,defense,defended_run,defended_mAP50,mAP50_recovery_normalized,defended_avg_conf,avg_conf_recovery_normalized,defended_total_detections,detection_recovery_normalized,bootstrap_det_drop_lower,bootstrap_det_drop_upper,bootstrap_det_drop_ci_computed,bootstrap_conf_drop_lower,bootstrap_conf_drop_upper,bootstrap_conf_drop_ci_computed
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_007,,,0.868216,3.992969,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,bit_depth,validate_deepfool_bit_depth,0.222240,,0.736680,0.277678,262,3.076923,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,c_dog,validate_deepfool_c_dog,0.127994,,0.735506,0.244536,112,1.153846,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,validate_deepfool_jpeg_preprocess,0.196715,,0.748463,0.610498,224,2.589744,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,validate_deepfool_median_preprocess,0.064921,,0.697464,-0.829981,61,0.500000,,,false,,,false
yolo,42,eot_pgd,untargeted_conf_suppression,,,attack_eot_pgd,baseline_none,missing,,,,,0.762253,0.778545,-0.016292,-0.021374,100,79,0.210000,bit_depth,defended_eot_pgd_bit_depth,,,0.783053,-0.276676,75,-0.190476,,,false,,,false
yolo,42,eot_pgd,untargeted_conf_suppression,,,attack_eot_pgd,baseline_none,missing,,,,,0.762253,0.778545,-0.016292,-0.021374,100,79,0.210000,c_dog,defended_eot_pgd_c_dog,,,0.728525,3.070194,64,-0.714286,,,false,,,false
yolo,42,eot_pgd,untargeted_conf_suppression,,,attack_eot_pgd,baseline_none,missing,,,,,0.762253,0.778545,-0.016292,-0.021374,100,79,0.210000,jpeg_preprocess,defended_eot_pgd_jpeg_preprocess,,,0.764975,0.832924,74,-0.238095,,,false,,,false
yolo,42,eot_pgd,untargeted_conf_suppression,,,attack_eot_pgd,baseline_none,missing,,,,,0.762253,0.778545,-0.016292,-0.021374,100,79,0.210000,median_preprocess,defended_eot_pgd_median_preprocess,,,0.773542,0.307114,60,-0.904762,,,false,,,false
yolo,42,fgsm,untargeted_conf_suppression,,,attack_fgsm,baseline_none,missing,,,,,0.762253,0.776330,-0.014077,-0.018468,100,81,0.190000,,,,,,,,,,,false,,,false
yolo,42,pgd,untargeted_conf_suppression,,,attack_pgd,baseline_none,missing,,,,,0.762253,0.746330,0.015923,0.020890,100,89,0.110000,,,,,,,,,,,false,,,false
