run_name,run_dir,model,attack,defense,seed,semantic_order,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_blur,yolo,blur,none,42,attack_then_defense,,,,32,30,73,0.7566432789580463,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_deepfool,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,32,18,23,0.7270611757817476,missing,,,,
attack_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_dispersion_reduction,yolo,dispersion_reduction,none,42,attack_then_defense,,,,12,10,24,0.7951196084419886,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_eot_pgd,yolo,eot_pgd,none,42,attack_then_defense,untargeted_conf_suppression,,,12,12,36,0.7927756839328342,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_fgsm,yolo,fgsm,none,42,attack_then_defense,untargeted_conf_suppression,,,32,28,81,0.7764275662692977,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_pgd,yolo,pgd,none,42,attack_then_defense,untargeted_conf_suppression,,,32,31,92,0.7503096875937089,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/attack_square,yolo,square,none,42,attack_then_defense,,,,8,8,18,0.7183249162303077,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/baseline_none,yolo,none,none,42,attack_then_defense,,,,32,32,100,0.7622534918785095,missing,,,,
consistency_atk_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/consistency_atk_square,yolo,square,none,42,attack_then_defense,,,,50,47,139,0.7544210360204573,missing,,,,
defended_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_deepfool_bit_depth,yolo,deepfool,bit_depth,42,attack_then_defense,untargeted_conf_suppression,,,32,19,24,0.739233560860157,missing,,,,
defended_deepfool_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,attack_then_defense,untargeted_conf_suppression,,,32,19,23,0.7400528995887093,missing,,,,
defended_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,attack_then_defense,untargeted_conf_suppression,,,32,24,36,0.7575203428665797,missing,,,,
defended_deepfool_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,attack_then_defense,untargeted_conf_suppression,,,32,24,41,0.7457190504888209,missing,,,,
defended_dispersion_reduction_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_dispersion_reduction_bit_depth,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,,,,32,25,50,0.7510868656635284,missing,,,,
defended_dispersion_reduction_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_dispersion_reduction_c_dog,yolo,dispersion_reduction,c_dog,42,attack_then_defense,,,,32,21,47,0.7583514413935073,missing,,,,
defended_dispersion_reduction_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_dispersion_reduction_jpeg_preprocess,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,,,,32,25,53,0.7524744384693649,missing,,,,
defended_dispersion_reduction_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_dispersion_reduction_median_preprocess,yolo,dispersion_reduction,median_preprocess,42,attack_then_defense,,,,32,30,60,0.7514580438534418,missing,,,,
defended_square_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_square_bit_depth,yolo,square,bit_depth,42,attack_then_defense,,,,32,31,92,0.7373510605615118,missing,,,,
defended_square_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_square_c_dog,yolo,square,c_dog,42,attack_then_defense,,,,32,28,90,0.7389379064242045,missing,,,,
defended_square_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_square_jpeg_preprocess,yolo,square,jpeg_preprocess,42,attack_then_defense,,,,32,29,86,0.7460108496421991,missing,,,,
defended_square_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/defended_square_median_preprocess,yolo,square,median_preprocess,42,attack_then_defense,,,,32,29,75,0.7370519884427389,missing,,,,
tune_atk_deepfool__epsilon0.05__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool__epsilon0.05__steps50,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,11,14,0.7463464311191014,missing,,,,
tune_atk_deepfool__epsilon0.1__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool__epsilon0.1__steps20,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,10,11,0.7574268471110951,missing,,,,
tune_atk_deepfool__epsilon0.1__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool__epsilon0.1__steps50,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,10,12,0.7353563408056895,missing,,,,
tune_atk_deepfool__epsilon0.1__steps80,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool__epsilon0.1__steps80,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,10,12,0.7322620699803034,missing,,,,
tune_atk_deepfool__epsilon0.2__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool__epsilon0.2__steps50,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,9,10,0.8045329451560974,missing,,,,
tune_atk_deepfool_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_deepfool_best,yolo,deepfool,none,42,attack_then_defense,untargeted_conf_suppression,,,16,10,12,0.7353563408056895,missing,,,,
tune_atk_dispersion_reduction__epsilon0.075__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_dispersion_reduction__epsilon0.075__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,,,,12,11,24,0.7634220694502195,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_dispersion_reduction__epsilon0.15__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,,,,12,8,12,0.7351431200901667,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps40,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_dispersion_reduction__epsilon0.15__steps40,yolo,dispersion_reduction,none,42,attack_then_defense,,,,12,7,12,0.7697429160277048,missing,,,,
tune_atk_square__eps0.15__n_queries450,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_square__eps0.15__n_queries450,yolo,square,none,42,attack_then_defense,,,,8,7,16,0.7627320922911167,missing,,,,
tune_atk_square__eps0.3__n_queries400,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_square__eps0.3__n_queries400,yolo,square,none,42,attack_then_defense,,,,8,7,13,0.7400132967875555,missing,,,,
tune_atk_square__eps0.3__n_queries450,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_square__eps0.3__n_queries450,yolo,square,none,42,attack_then_defense,,,,8,7,12,0.7082261840502421,missing,,,,
tune_atk_square__eps0.3__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260406_054944/tune_atk_square__eps0.3__n_queries500,yolo,square,none,42,attack_then_defense,,,,8,6,9,0.7832209997706943,missing,,,,
