run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_blur,yolo,blur,none,42,,,,8,8,16,0.7271771840751171,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_deepfool,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,7,9,0.7549481458134122,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_eot_pgd,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,14,0.795614847115108,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_fgsm,yolo,fgsm,none,42,untargeted_conf_suppression,,,8,8,17,0.7520905627923853,missing,,,,
attack_jpeg_attack,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_jpeg_attack,yolo,jpeg_attack,none,42,,,,8,8,21,0.7484739167349679,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_pgd,yolo,pgd,none,42,untargeted_conf_suppression,,,8,8,18,0.7646069924036661,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/attack_square,yolo,square,none,42,,,,8,8,18,0.7183249162303077,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/baseline_none,yolo,none,none,42,,,,8,8,21,0.7658032888457889,missing,,,,
defended_blur_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_blur_bit_depth,yolo,blur,bit_depth,42,,,,8,8,17,0.6946808310116038,missing,,,,
defended_blur_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_blur_jpeg_preprocess,yolo,blur,jpeg_preprocess,42,,,,8,8,17,0.7005997861132902,missing,,,,
defended_blur_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_blur_median_preprocess,yolo,blur,median_preprocess,42,,,,8,8,16,0.7016274966299534,missing,,,,
defended_blur_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_blur_random_resize,yolo,blur,random_resize,42,,,,8,8,12,0.7764825870593389,missing,,,,
defended_jpeg_attack_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_jpeg_attack_bit_depth,yolo,jpeg_attack,bit_depth,42,,,,8,8,21,0.7577828055336362,missing,,,,
defended_jpeg_attack_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_jpeg_attack_jpeg_preprocess,yolo,jpeg_attack,jpeg_preprocess,42,,,,8,8,21,0.753987417334602,missing,,,,
defended_jpeg_attack_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_jpeg_attack_median_preprocess,yolo,jpeg_attack,median_preprocess,42,,,,8,8,19,0.7509145579840008,missing,,,,
defended_jpeg_attack_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_jpeg_attack_random_resize,yolo,jpeg_attack,random_resize,42,,,,8,8,22,0.7201719961383126,missing,,,,
defended_square_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_square_bit_depth,yolo,square,bit_depth,42,,,,8,8,19,0.7301563714679918,missing,,,,
defended_square_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_square_jpeg_preprocess,yolo,square,jpeg_preprocess,42,,,,8,8,17,0.7183016188004437,missing,,,,
defended_square_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_square_median_preprocess,yolo,square,median_preprocess,42,,,,8,7,16,0.712725356221199,missing,,,,
defended_square_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260323_205212/defended_square_random_resize,yolo,square,random_resize,42,,,,8,7,16,0.7330314628779888,missing,,,,
