run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
defended_blur_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260323T010301Z/defended_blur_c_dog,yolo,blur,c_dog,42,,,,500,406,914,0.7548475272676355,missing,,,,
defended_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260323T010301Z/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,untargeted_conf_suppression,,,500,124,148,0.7265163156631831,missing,,,,
defended_fgsm_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260323T010301Z/defended_fgsm_c_dog,yolo,fgsm,c_dog,42,untargeted_conf_suppression,,,500,402,950,0.7561888962042959,missing,,,,
defended_pgd_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260323T010301Z/defended_pgd_c_dog,yolo,pgd,c_dog,42,untargeted_conf_suppression,,,500,403,938,0.7615953544690919,missing,,,,
