run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_blur,yolo,blur,none,42,,,,32,30,73,0.7566432789580463,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_deepfool,yolo,deepfool,none,42,untargeted_conf_suppression,,,32,18,23,0.7270611757817476,missing,,,,
attack_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_dispersion_reduction,yolo,dispersion_reduction,none,42,,,,12,10,24,0.7951196084419886,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_eot_pgd,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,12,12,36,0.7927756839328342,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_fgsm,yolo,fgsm,none,42,untargeted_conf_suppression,,,32,28,81,0.7764275662692977,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_pgd,yolo,pgd,none,42,untargeted_conf_suppression,,,32,31,92,0.7503096875937089,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/attack_square,yolo,square,none,42,,,,8,8,18,0.7183249162303077,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/baseline_none,yolo,none,none,42,,,,32,32,100,0.7622534918785095,missing,,,,
defended_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_deepfool_bit_depth,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,32,19,25,0.7219049501419067,missing,,,,
defended_deepfool_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,untargeted_conf_suppression,,,32,21,25,0.7440254735946655,missing,,,,
defended_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,32,15,17,0.7870253324508667,missing,,,,
defended_deepfool_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,untargeted_conf_suppression,,,32,14,16,0.7745590023696423,missing,,,,
defended_dispersion_reduction_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_dispersion_reduction_bit_depth,yolo,dispersion_reduction,bit_depth,42,,,,32,25,48,0.7594736181199551,missing,,,,
defended_dispersion_reduction_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_dispersion_reduction_c_dog,yolo,dispersion_reduction,c_dog,42,,,,32,27,50,0.757187420129776,missing,,,,
defended_dispersion_reduction_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_dispersion_reduction_jpeg_preprocess,yolo,dispersion_reduction,jpeg_preprocess,42,,,,32,22,44,0.7423187358812853,missing,,,,
defended_dispersion_reduction_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_dispersion_reduction_median_preprocess,yolo,dispersion_reduction,median_preprocess,42,,,,32,21,36,0.7469205674197938,missing,,,,
defended_square_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_square_bit_depth,yolo,square,bit_depth,42,,,,32,30,91,0.7399992746311229,missing,,,,
defended_square_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_square_c_dog,yolo,square,c_dog,42,,,,32,31,89,0.7463074045234852,missing,,,,
defended_square_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_square_jpeg_preprocess,yolo,square,jpeg_preprocess,42,,,,32,30,83,0.7402830691222685,missing,,,,
defended_square_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260328_092542/defended_square_median_preprocess,yolo,square,median_preprocess,42,,,,32,29,81,0.7396861476662718,missing,,,,
