run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
defended_eot_pgd_jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/defended_eot_pgd_jpeg_preprocess,yolo,eot_pgd,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,27,74,0.764975033096365,missing,,,,
defended_eot_pgd_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/defended_eot_pgd_median_preprocess,yolo,eot_pgd,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,24,60,0.7735416928927104,missing,,,,
tune_atk_blur_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_blur_001,yolo,blur,none,42,legacy_unknown,,,,,,,,,,,,,8,5,6,0.725989580154419,missing,,,,
tune_atk_blur_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_blur_002,yolo,blur,none,42,legacy_unknown,,,,,,,,,,,,,8,5,5,0.7626294970512391,missing,,,,
tune_atk_blur_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_blur_003,yolo,blur,none,42,legacy_unknown,,,,,,,,,,,,,8,8,11,0.7239192236553539,missing,,,,
tune_atk_deepfool_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_001,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,8,0.760546013712883,missing,,,,
tune_atk_deepfool_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_002,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,6,0.832078625758489,missing,,,,
tune_atk_deepfool_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_003,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,9,0.7529494365056356,missing,,,,
tune_atk_deepfool_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_004,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,8,0.7601918280124664,missing,,,,
tune_atk_deepfool_005,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_005,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,7,0.7885424494743347,missing,,,,
