run_name,run_dir,model,attack,defense,seed,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/attack_blur,yolo,blur,none,42,500,450,1200,0.754694989323616,complete,0.6651689687969455,0.4748398408106206,0.5244102716763677,0.37692007938679056
attack_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/attack_deepfool,yolo,deepfool,none,42,500,217,313,0.7481705845354464,complete,0.520331080462195,0.2302837367668618,0.25409954462796175,0.17328935999680564
attack_fgsm,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/attack_fgsm,yolo,fgsm,none,42,500,444,1260,0.762134217790195,complete,0.6729188198507625,0.4518265352586899,0.519159245846352,0.3669451138856557
attack_pgd,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/attack_pgd,yolo,pgd,none,42,500,439,1238,0.7667348303972038,complete,0.6806458196699585,0.47681311342918464,0.5246135076189357,0.3753951897448943
baseline_none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/baseline_none,yolo,none,none,42,500,466,1437,0.7647724414585196,complete,0.7134394620132785,0.5353270019589697,0.5983657680428269,0.4379871549289112
defended_blur_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_blur_c_dog,yolo,blur,c_dog,42,500,292,506,0.7409702113023389,complete,0.4803044430957105,0.2405597556618395,0.25786486379898077,0.17273977686225503
defended_blur_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_blur_c_dog_ensemble,yolo,blur,c_dog_ensemble,42,500,144,196,0.6896913973044376,complete,0.3660742881884251,0.10911104992615826,0.11793651549911537,0.07710850441601765
defended_blur_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_blur_median_preprocess,yolo,blur,median_preprocess,42,500,448,1169,0.7522030019984478,complete,0.6045493386000284,0.47348741205946193,0.5081842179570705,0.36524241643132715
defended_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,500,44,46,0.7091791046702344,complete,0.4381855480757304,0.06690961929328496,0.0817536171518467,0.05486068734955302
defended_deepfool_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_deepfool_c_dog_ensemble,yolo,deepfool,c_dog_ensemble,42,500,21,22,0.6859684586524963,complete,0.543517742965024,0.04460900220306242,0.06072734704521292,0.041210410394178706
defended_deepfool_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,500,172,218,0.7479641363708252,complete,0.42211731053557033,0.16443811661357413,0.19637232499226365,0.12828924774463363
defended_fgsm_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_fgsm_c_dog,yolo,fgsm,c_dog,42,500,260,444,0.7439552811351983,complete,0.4251094709793926,0.17557059972304975,0.1762199369173394,0.11542735221836499
defended_fgsm_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_fgsm_c_dog_ensemble,yolo,fgsm,c_dog_ensemble,42,500,119,136,0.7051437510287061,complete,0.5011731514490074,0.07409690313544119,0.06553459485610343,0.04365309807197815
defended_fgsm_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_fgsm_median_preprocess,yolo,fgsm,median_preprocess,42,500,443,1148,0.7591981771515637,complete,0.6311958473413414,0.43465470720533317,0.4850677248156664,0.3448530916695182
defended_pgd_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_pgd_c_dog,yolo,pgd,c_dog,42,500,239,370,0.7308053393621703,complete,0.39600440700233563,0.17414843980340328,0.178234712408979,0.11994936183834251
defended_pgd_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_pgd_c_dog_ensemble,yolo,pgd,c_dog_ensemble,42,500,87,93,0.6909961982439923,complete,0.5011822145271803,0.0682186420171351,0.06836746996450237,0.04602105124743616
defended_pgd_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T033240Z/defended_pgd_median_preprocess,yolo,pgd,median_preprocess,42,500,426,1162,0.7602769414960004,complete,0.6445095107445751,0.4292207220314748,0.49123541541648774,0.3536812542947948
