run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_fgsm,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/demo_audit/20260501T044919Z/runs/attack_fgsm,yolo,fgsm,none,42,attack_then_defense,attack_only,,,,,,,untargeted_conf_suppression,,,,,8,8,30,0.5731287757555644,complete,0.6793909564061987,0.6294579306359831,0.7132136595768126,0.5375849604142424
baseline_none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/demo_audit/20260501T044919Z/runs/baseline_none,yolo,none,none,42,attack_then_defense,baseline,,,,,,,,,,,,8,8,31,0.6316487087357429,complete,0.801546954046426,0.5388682029464059,0.708237665508034,0.537657578438761
defended_fgsm_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/demo_audit/20260501T044919Z/runs/defended_fgsm_median_preprocess,yolo,fgsm,median_preprocess,42,attack_then_defense,defended,,,,,,,untargeted_conf_suppression,,,,,8,8,21,0.6833758978616624,complete,0.8315465070642452,0.5490618526220863,0.6638693704967057,0.49916199387634463
