run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_eot_pgd_009,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_009,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,13,0.7731657945192777,missing,,,,
tune_atk_eot_pgd_010,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_010,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,9,0.826884580983056,missing,,,,
tune_atk_eot_pgd_011,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_011,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,11,0.8219646107066761,missing,,,,
tune_atk_eot_pgd_012,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_012,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,9,0.8090351025263468,missing,,,,
tune_atk_eot_pgd_013,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_013,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,10,0.7965655148029327,missing,,,,
tune_atk_eot_pgd_014,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_014,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,8,0.7955447435379028,missing,,,,
tune_atk_eot_pgd_015,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_015,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,12,0.7596779565016428,missing,,,,
tune_atk_eot_pgd_016,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_016,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,6,0.8672713836034139,missing,,,,
tune_atk_eot_pgd_017,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_017,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,8,0.7953547537326813,missing,,,,
tune_atk_eot_pgd_018,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_018,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,9,0.8046423395474752,missing,,,,
tune_atk_eot_pgd_019,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_019,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,6,0.8672713836034139,missing,,,,
tune_atk_eot_pgd_020,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_020,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,8,0.7953547537326813,missing,,,,
tune_def_bit_depth_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_bit_depth_001,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,8,7,8,0.7955008670687675,missing,,,,
tune_def_bit_depth_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_bit_depth_002,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,8,6,6,0.830067495505015,missing,,,,
tune_def_bit_depth_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_bit_depth_003,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,8,7,7,0.7797583341598511,missing,,,,
tune_def_jpeg_preprocess_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_jpeg_preprocess_001,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,5,5,0.8412075757980346,missing,,,,
tune_def_jpeg_preprocess_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_jpeg_preprocess_002,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,5,5,0.8588173747062683,missing,,,,
tune_def_jpeg_preprocess_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_jpeg_preprocess_003,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,7,8,0.7779199406504631,missing,,,,
tune_def_jpeg_preprocess_004,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_jpeg_preprocess_004,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,5,5,0.8412075757980346,missing,,,,
tune_def_jpeg_preprocess_005,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_jpeg_preprocess_005,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,7,7,0.8050973755972726,missing,,,,
tune_def_random_resize_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_random_resize_001,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,5,5,0.8165155529975892,missing,,,,
tune_def_random_resize_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_random_resize_002,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,5,5,0.8669601798057556,missing,,,,
tune_def_random_resize_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_random_resize_003,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,6,6,0.8662092685699463,missing,,,,
tune_def_random_resize_004,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_random_resize_004,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,5,5,0.8165155529975892,missing,,,,
tune_def_random_resize_005,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_def_random_resize_005,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,6,6,0.8134201268355051,missing,,,,
validate_atk_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_atk_blur,yolo,blur,none,42,,,,500,316,540,0.7345892564014153,complete,0.39168249243871006,0.25128322154872873,0.26359023462953907,0.17826414450562555
validate_atk_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_atk_deepfool,yolo,deepfool,none,42,untargeted_conf_suppression,,,500,207,260,0.7561992535224328,complete,0.5318993803174947,0.1857739750543085,0.21841389286273205,0.15188651425180733
validate_atk_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_atk_eot_pgd,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,500,341,605,0.7481217658224185,complete,0.4697314156649175,0.24406766850687797,0.25291902516009873,0.17033711235387922
validate_baseline,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_baseline,yolo,none,none,42,,,,500,466,1437,0.7647722675805301,complete,0.7134261496087755,0.5369307233682217,0.6001591766396535,0.4391872274604919
validate_blur_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_blur_bit_depth,yolo,blur,bit_depth,42,,,,500,316,542,0.7336420886410998,complete,0.36501212964549457,0.2560927298053636,0.261521090762956,0.17772512412779234
validate_blur_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_blur_jpeg_preprocess,yolo,blur,jpeg_preprocess,42,,,,500,316,535,0.7300802530529343,complete,0.3783168336203603,0.2515730675855644,0.2602695901615396,0.17551837878609783
validate_blur_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_blur_random_resize,yolo,blur,random_resize,42,,,,500,281,451,0.7384173551578479,complete,0.303636209394066,0.15619134192711734,0.1489459622915079,0.06542579562823063
validate_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_deepfool_bit_depth,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,500,203,262,0.7472459837680555,complete,0.4682475381688033,0.18866469835110197,0.22760173407061274,0.1538488890215202
validate_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,500,173,212,0.7517907253976138,complete,0.4635975477211562,0.1540994103566383,0.18365147833842493,0.12491598260207676
validate_deepfool_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_deepfool_random_resize,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,500,173,211,0.7447915130881901,complete,0.46549441698029836,0.10460651303899106,0.1184940449968921,0.049203101521081476
validate_eot_pgd_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_eot_pgd_bit_depth,yolo,eot_pgd,bit_depth,42,untargeted_conf_suppression,,,500,336,596,0.7501957190516811,complete,0.4587323095095927,0.24526996521834926,0.255519133036382,0.17235923393454378
validate_eot_pgd_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/validate_eot_pgd_jpeg_preprocess,yolo,eot_pgd,jpeg_preprocess,42,untargeted_conf_suppression,,,500,326,554,0.746970711309557,complete,0.4198648073054011,0.22407957375883306,0.22837274976827354,0.15010679864542806
