run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_deepfool__epsilon0.15__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.15__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,3,3,0.6429120103518168,missing,,,,
tune_atk_deepfool__epsilon0.3__steps170,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.3__steps170,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_deepfool__epsilon0.3__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.3__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_deepfool_scan__epsilon0.005__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.005__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,16,52,0.7771688309999613,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps10,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps10,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,13,26,0.6791788843961862,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps105,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps105,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,10,17,0.7550284687210532,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,11,18,0.7188835574520959,missing,,,,
tune_atk_deepfool_scan__epsilon0.1525__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.1525__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,4,4,0.748178705573082,missing,,,,
tune_atk_deepfool_scan__epsilon0.3__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.3__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_dispersion_reduction__epsilon0.075__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.075__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,21,0.7394646377790541,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.15__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,4,5,0.6890929818153382,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps80,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.15__steps80,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,5,6,0.6878910064697266,missing,,,,
tune_atk_dispersion_reduction_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_best,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,4,5,0.6890929818153382,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,12,39,0.7812734582485297,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.7425272288145842,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.7684430148866441,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps60,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.05__steps60,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,28,0.7466189392975399,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.08__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.08__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,8,20,0.7437510132789612,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.15__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.15__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,7,8,0.7311224341392517,missing,,,,
tune_atk_square__eps0.15__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square__eps0.15__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,14,0.734388815505164,missing,,,,
tune_atk_square__eps0.3__n_queries450,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square__eps0.3__n_queries450,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,7,9,0.7506012055608962,missing,,,,
tune_atk_square__eps0.3__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square__eps0.3__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,5,8,0.789469800889492,missing,,,,
tune_atk_square_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_best,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,5,8,0.789469800889492,missing,,,,
tune_atk_square_scan__eps0.01__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.01__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,20,0.7884695649147033,missing,,,,
tune_atk_square_scan__eps0.05__n_queries275,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.05__n_queries275,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,20,0.7639376759529114,missing,,,,
tune_atk_square_scan__eps0.05__n_queries50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.05__n_queries50,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,20,0.7807484060525894,missing,,,,
tune_atk_square_scan__eps0.05__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.05__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,18,0.7745076252354516,missing,,,,
tune_atk_square_scan__eps0.155__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.155__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,21,0.7368149587086269,missing,,,,
tune_atk_square_scan__eps0.3__n_queries100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_square_scan__eps0.3__n_queries100,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,20,0.7353403955698014,missing,,,,
tune_def_bit_depth__bits4_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits4_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,10,29,0.7522847570222,missing,,,,
tune_def_bit_depth__bits4_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits4_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,20,0.7354366511106492,missing,,,,
tune_def_bit_depth__bits5_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits5_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,28,0.7575544523341315,missing,,,,
tune_def_bit_depth__bits5_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits5_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,19,0.7395263094651071,missing,,,,
tune_def_bit_depth__bits6_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits6_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.763057514473244,missing,,,,
tune_def_bit_depth__bits6_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth__bits6_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,18,0.7549308306641049,missing,,,,
tune_def_bit_depth_scan__bits3_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits3_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,11,30,0.7360174039999644,missing,,,,
tune_def_bit_depth_scan__bits3_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits3_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,17,0.751009415177738,missing,,,,
tune_def_bit_depth_scan__bits5_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits5_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,28,0.7575544523341315,missing,,,,
tune_def_bit_depth_scan__bits5_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits5_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,19,0.7395263094651071,missing,,,,
tune_def_bit_depth_scan__bits7_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits7_vs_dispersion_reduction,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.760980592833625,missing,,,,
tune_def_bit_depth_scan__bits7_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_bit_depth_scan__bits7_vs_square,yolo,square,bit_depth,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,19,0.7394123422472101,missing,,,,
tune_def_jpeg_preprocess__quality40_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess__quality40_vs_dispersion_reduction,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,10,32,0.7223171275109053,missing,,,,
tune_def_jpeg_preprocess__quality40_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess__quality40_vs_square,yolo,square,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,17,0.7624750417821547,missing,,,,
tune_def_jpeg_preprocess__quality55_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess__quality55_vs_dispersion_reduction,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,25,0.7520200681686401,missing,,,,
tune_def_jpeg_preprocess__quality55_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess__quality55_vs_square,yolo,square,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,15,0.7933196147282918,missing,,,,
tune_def_jpeg_preprocess_scan__quality40_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality40_vs_dispersion_reduction,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,10,32,0.7223171275109053,missing,,,,
tune_def_jpeg_preprocess_scan__quality40_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality40_vs_square,yolo,square,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,17,0.7624750417821547,missing,,,,
tune_def_jpeg_preprocess_scan__quality68_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality68_vs_dispersion_reduction,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,26,0.7484106329771189,missing,,,,
tune_def_jpeg_preprocess_scan__quality68_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality68_vs_square,yolo,square,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,18,0.7555154495769076,missing,,,,
tune_def_jpeg_preprocess_scan__quality95_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality95_vs_dispersion_reduction,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.7628797447239911,missing,,,,
tune_def_jpeg_preprocess_scan__quality95_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_jpeg_preprocess_scan__quality95_vs_square,yolo,square,jpeg_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,19,0.7401335647231654,missing,,,,
tune_def_median_preprocess__kernel_size3_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_median_preprocess__kernel_size3_vs_dispersion_reduction,yolo,dispersion_reduction,median_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,11,31,0.7684560360447052,missing,,,,
tune_def_median_preprocess__kernel_size3_vs_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_median_preprocess__kernel_size3_vs_square,yolo,square,median_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,8,8,17,0.7568522902096019,missing,,,,
tune_def_median_preprocess__kernel_size5_vs_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_def_median_preprocess__kernel_size5_vs_dispersion_reduction,yolo,dispersion_reduction,median_preprocess,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,12,35,0.7332523380007062,missing,,,,
