run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_deepfool__epsilon0.07625__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.07625__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,8,10,0.767610365152359,missing,,,,
tune_atk_deepfool__epsilon0.1525__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.1525__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,9,10,0.8117364883422852,missing,,,,
tune_atk_deepfool__epsilon0.3__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.3__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,10,11,0.826877621087161,missing,,,,
tune_atk_deepfool_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_best,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,8,10,0.767610365152359,missing,,,,
tune_atk_deepfool_scan__epsilon0.005__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.005__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,14,39,0.7778558868628281,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps10,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.05__steps10,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,13,0.7713426672495328,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps105,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.05__steps105,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,14,0.7491000975881305,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.05__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,11,14,0.7442949414253235,missing,,,,
tune_atk_deepfool_scan__epsilon0.1525__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.1525__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,9,10,0.812127310037613,missing,,,,
tune_atk_deepfool_scan__epsilon0.3__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool_scan__epsilon0.3__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,10,11,0.8248368989337574,missing,,,,
